grad_step,syncs,since_sync,flip_vs_prev,flip_vs_ref,recent100
15200,15,200,0.02734375,0.0703125,58.229166666666664
15300,15,300,0.00390625,0.0703125,58.229166666666664
15400,15,400,0.017578125,0.072265625,57.93877551020408
15500,15,500,0.015625,0.072265625,57.93877551020408
15600,15,600,0.021484375,0.06640625,57.24
15700,15,700,0.013671875,0.076171875,57.24
15800,15,800,0.017578125,0.0703125,57.24
15900,15,900,0.017578125,0.060546875,57.24
16000,16,0,0.01171875,0.068359375,57.24
16100,16,100,0.0234375,0.068359375,57.24
16200,16,200,0.09765625,0.134765625,57.24
16300,16,300,0.078125,0.076171875,57.24
16400,16,400,0.015625,0.064453125,57.24
16500,16,500,0.076171875,0.1328125,58.294117647058826
16600,16,600,0.03125,0.13671875,57.40384615384615
16700,16,700,0.025390625,0.130859375,57.40384615384615
16800,16,800,0.00390625,0.130859375,57.40384615384615
16900,16,900,0.017578125,0.12890625,57.20754716981132
17000,17,0,0.009765625,0.130859375,57.20754716981132
17100,17,100,0.087890625,0.06640625,57.20754716981132
17200,17,200,0.015625,0.06640625,57.20754716981132
17300,17,300,0.009765625,0.064453125,57.20754716981132
17400,17,400,0.0390625,0.068359375,57.20754716981132
17500,17,500,0.029296875,0.0703125,57.20754716981132
17600,17,600,0.017578125,0.072265625,57.20754716981132
17700,17,700,0.017578125,0.0625,57.20754716981132
17800,17,800,0.015625,0.06640625,57.20754716981132
17900,17,900,0.01953125,0.0625,57.20754716981132
18000,18,0,0.021484375,0.068359375,57.20754716981132
18100,18,100,0.017578125,0.06640625,57.20754716981132
18200,18,200,0.02734375,0.0703125,59.148148148148145
18300,18,300,0.03515625,0.0703125,59.148148148148145
18400,18,400,0.013671875,0.072265625,57.42857142857143
18500,18,500,0.041015625,0.0703125,57.42857142857143
18600,18,600,0.02734375,0.0625,57.42857142857143
18700,18,700,0.015625,0.0625,57.42857142857143
18800,18,800,0.013671875,0.064453125,56.36206896551724
18900,18,900,0.021484375,0.07421875,56.36206896551724
19000,19,0,0.02734375,0.0625,56.36206896551724
19100,19,100,0.021484375,0.072265625,56.36206896551724
19200,19,200,0.021484375,0.0703125,56.16949152542373
19300,19,300,0.03125,0.0625,56.16949152542373
19400,19,400,0.013671875,0.064453125,56.16949152542373
19500,19,500,0.01171875,0.056640625,56.16949152542373
19600,19,600,0.015625,0.068359375,56.16949152542373
19700,19,700,0.01171875,0.060546875,56.31666666666667
19800,19,800,0.033203125,0.0625,56.31666666666667
19900,19,900,0.03125,0.06640625,56.31666666666667
20000,20,0,0.009765625,0.076171875,56.31666666666667
20100,20,100,0.015625,0.068359375,56.21311475409836
20200,20,200,0.01171875,0.076171875,56.21311475409836
20300,20,300,0.015625,0.080078125,56.21311475409836
20400,20,400,0.01171875,0.076171875,55.91935483870968
20500,20,500,0.017578125,0.078125,54.3125
20600,20,600,0.013671875,0.080078125,54.3125
20700,20,700,0.009765625,0.0703125,54.3125
20800,20,800,0.005859375,0.068359375,54.3125
20900,20,900,0.009765625,0.07421875,54.13846153846154
21000,21,0,0.005859375,0.076171875,54.13846153846154
21100,21,100,0.029296875,0.06640625,54.13846153846154
21200,21,200,0.0234375,0.0703125,54.13846153846154
21300,21,300,0.01953125,0.0625,54.13846153846154
21400,21,400,0.01953125,0.0703125,54.13846153846154
21500,21,500,0.021484375,0.076171875,54.13846153846154
